Item_id,Item_title,Sponsored,Vendor,Alt_title,Promoted,Best Price,Parameters,General,EAN,Price,Currency,Has Variants,Variants,Rating,Count,Smart,Sellers Count,Total Units Sold,Total Sales Value,Item URL,Seller ID,Seller Name,Seller Url,Seller Rating,Super S
8079906271,Lokalizator GPS Acurel GP28,True,allegro,Lokalizator GPS Acurel GP28,True,False,"[{'name': 'Stan', 'values': ['Nowy'], 'highlight': False}]",[],5902557296996,198.00,PLN,x,,4.88,144,True,4,16,3168.0,https://allegro.pl/oferta/8079906271,9685316,ELEXPRESS_pl,https://allegro.pl/uzytkownik/ELEXPRESS_pl,99.7,True
14955875036,Lokalizator GPS OBD FMB020,True,allegro,Lokalizator GPS OBD FMB020,False,False,"[{'name': 'Stan', 'values': ['Nowy'], 'highlight': False}]",[],4779027312668,300.00,PLN,x,,4.67,3,True,3,1,300.0,https://allegro.pl/oferta/14955875036,9685316,ELEXPRESS_pl,https://allegro.pl/uzytkownik/ELEXPRESS_pl,99.7,True
10046078790,Lokalizator GPS odcięcie zasilania paliwa serwis,True,allegro,Lokalizator GPS odcięcie zasilania paliwa serwis,True,False,"[{'name': 'Stan', 'values': ['Nowy'], 'highlight': False}]",[],5904013900942,358.00,PLN,x,,5.00,9,True,11,5,1790.0,https://allegro.pl/oferta/10046078790,9685316,ELEXPRESS_pl,https://allegro.pl/uzytkownik/ELEXPRESS_pl,99.7,True
15145259884,PILOT ZDALNEGO STEROWANIA + ODBIORNIK MJX HG-T22 Z GPS BLUETOOTH NADAJNIK,True,allegro,PILOT ZDALNEGO STEROWANIA + ODBIORNIK MJX HG-T22 Z GPS BLUETOOTH NADAJNIK,False,False,"[{'name': 'Stan', 'values': ['Nowy'], 'highlight': False}, {'name': 'Marka', 'values': ['MJX'], 'highlight': False}]","[{'name': 'Marka', 'values': ['MJX'], 'highlight': False}]",5907489027724,169.00,PLN,x,,5.00,1,True,1,2,338.0,https://allegro.pl/oferta/15145259884,41409858,Handloteka_net,https://allegro.pl/uzytkownik/Handloteka_net,99.5,True
14795306053,Lokalizator GPS LBS Monitoring Flot Pojazdów Nadajnik Serwis Tracksolid Pro,True,allegro,Lokalizator GPS LBS Monitoring Flot Pojazdów Nadajnik Serwis Tracksolid Pro,False,False,"[{'name': 'Stan', 'values': ['Nowy'], 'highlight': False}]",[],5904013905848,298.00,PLN,x,,N/A,0,True,,0,0.0,https://allegro.pl/oferta/14795306053,9685316,ELEXPRESS_pl,https://allegro.pl/uzytkownik/ELEXPRESS_pl,99.7,True
8612003547,Lokalizator GPS 90 DNI nadajnik auto polski serwis,True,allegro,Lokalizator GPS 90 DNI nadajnik auto polski serwis,False,False,"[{'name': 'Stan', 'values': ['Nowy'], 'highlight': False}]",[],604199286237,398.00,PLN,x,,4.89,27,True,4,1,398.0,https://allegro.pl/oferta/8612003547,9685316,ELEXPRESS_pl,https://allegro.pl/uzytkownik/ELEXPRESS_pl,99.7,True
15145074863,Lokalizator Nadajnik GPS Micodus MV501G 4G SIM - Odcięcie paliwa Mikrofon,False,allegro,Lokalizator Nadajnik GPS Micodus MV501G 4G SIM - Odcięcie paliwa Mikrofon,False,False,"[{'name': 'Stan', 'values': ['Nowy'], 'highlight': False}]",[],5905567520693,369.00,PLN,x,,N/A,0,True,3,0,0.0,https://allegro.pl/oferta/15145074863,102989380,janserwis_radom,https://allegro.pl/uzytkownik/janserwis_radom,98.5,False
12551548351,Lokalizator nadajnik gps gsm Magnes Orllo Track-1,True,allegro,Lokalizator nadajnik gps gsm Magnes Orllo Track-1,False,False,"[{'name': 'Stan', 'values': ['Nowy'], 'highlight': False}, {'name': 'Producent', 'values': ['Orllo'], 'highlight': False}]","[{'name': 'Producent', 'values': ['Orllo'], 'highlight': False}]",5907582699125,498.70,PLN,x,,4.90,52,True,10,7,3490.9,https://allegro.pl/oferta/12551548351,11140522,eltrox_pl,https://allegro.pl/uzytkownik/eltrox_pl,99.7,True
15119756194,Lokalizator GPS Deoditoo Meitrack,False,allegro,Lokalizator GPS Deoditoo Meitrack,False,False,"[{'name': 'Stan', 'values': ['Nowy'], 'highlight': False}]",[],5452002014564,899.00,PLN,x,,N/A,0,True,2,0,0.0,https://allegro.pl/oferta/15119756194,17255486,spy-shop_pl,https://allegro.pl/uzytkownik/spy-shop_pl,99.7,True
11217380349,Lokalizator GPS Jimi IoT AT4,True,allegro,Lokalizator GPS Jimi IoT AT4,True,False,"[{'name': 'Stan', 'values': ['Nowy'], 'highlight': False}, {'name': 'Producent', 'values': ['Jimilot'], 'highlight': False}]","[{'name': 'Producent', 'values': ['Jimilot'], 'highlight': False}]",5904013905992,398.00,PLN,x,,4.74,23,True,53,6,2388.0,https://allegro.pl/oferta/11217380349,9685316,ELEXPRESS_pl,https://allegro.pl/uzytkownik/ELEXPRESS_pl,99.7,True
